transaction_id,account_id,transaction_type,amount_aud,currency,merchant_name,transaction_date,posted_date,description,status
TXN_0000001,ACC_000218,credit,3757.17,AUD,Netflix,2026-03-07T15:26:26.110787,2026-02-22T14:49:10.360138,architect turn-key e-markets,failed
TXN_0000002,ACC_000069,credit,2942.06,AUD,AGL Energy,2026-02-21T11:15:27.885287,2026-02-02T19:04:36.242449,visualize dot-com portals,settled
TXN_0000003,ACC_000215,credit,1694.42,AUD,Netflix,2026-04-06T19:30:18.578659,2026-02-26T23:38:52.592842,disintermediate efficient methodologies,pending
TXN_0000004,ACC_000145,credit,2191.65,AUD,Spotify,2026-02-24T15:15:21.456368,2026-02-07T04:43:59.909431,engage compelling ROI,settled
TXN_0000005,ACC_000206,debit,1980.38,AUD,Netflix,2026-02-22T04:24:54.046004,2026-03-10T19:21:48.706576,morph extensible networks,settled
TXN_0000006,ACC_000087,debit,842.3,AUD,Sydney Water,2026-02-19T20:33:52.621575,2026-03-24T08:37:24.071583,extend global web services,settled
TXN_0000007,ACC_000281,debit,1866.64,AUD,Coles,2026-01-30T13:58:48.904722,2026-02-09T13:03:39.663619,generate granular platforms,pending
TXN_0000008,ACC_000286,credit,2156.38,AUD,AGL Energy,2026-02-08T03:59:04.508600,2026-02-24T21:57:59.608366,facilitate scalable communities,pending
TXN_0000009,ACC_000007,debit,195.58,AUD,Bunnings,2026-02-23T21:13:08.220230,2026-03-18T02:14:54.584407,exploit e-business eyeballs,settled
TXN_0000010,ACC_000266,debit,4008.75,AUD,Bunnings,2026-03-03T07:33:33.500847,2026-03-14T21:17:06.555125,evolve innovative portals,settled
TXN_0000011,ACC_000074,credit,2697.71,AUD,Woolworths,2026-02-08T19:46:43.422161,2026-01-27T01:38:26.992547,integrate integrated interfaces,settled
TXN_0000012,ACC_000033,debit,2022.24,AUD,Rent Payment,2026-03-16T02:55:14.433413,2026-03-07T18:07:37.104083,unleash leading-edge ROI,pending
TXN_0000013,ACC_000068,debit,3736.89,AUD,Ausgrid,2026-03-18T11:47:03.261786,2026-02-28T08:56:04.649457,aggregate front-end solutions,failed
TXN_0000014,ACC_000319,debit,2805.02,AUD,Bunnings,2026-01-22T21:21:04.316457,2026-03-14T19:42:25.962652,mesh bleeding-edge e-business,settled
TXN_0000015,ACC_000182,debit,1035.32,AUD,Coles,2026-02-04T02:50:16.966739,2026-01-23T02:38:49.371330,incentivize clicks-and-mortar communities,settled
TXN_0000016,ACC_000083,credit,3719.57,AUD,Bunnings,2026-01-27T16:20:07.710576,2026-02-13T16:46:43.102096,strategize synergistic web services,pending
TXN_0000017,ACC_000259,debit,3950.07,AUD,Ausgrid,2026-02-24T10:15:50.878190,2026-03-13T14:41:17.364671,mesh value-added partnerships,settled
TXN_0000018,ACC_000035,credit,2967.78,AUD,Netflix,2026-04-12T14:10:41.626544,2026-03-10T07:52:30.473977,drive cross-media convergence,settled
TXN_0000019,ACC_000287,credit,2349.92,AUD,Woolworths,2026-04-16T13:27:22.883549,2026-02-13T18:00:43.031469,expedite dynamic bandwidth,failed
TXN_0000020,ACC_000173,debit,4222.99,AUD,Ausgrid,2026-04-13T12:56:12.826155,2026-03-12T14:33:12.668295,morph virtual e-markets,pending
TXN_0000021,ACC_000143,debit,1915.56,AUD,Ausgrid,2026-03-06T10:13:45.436483,2026-03-11T03:23:50.423275,deliver distributed supply-chains,settled
TXN_0000022,ACC_000033,credit,2692.92,AUD,Kmart,2026-04-15T02:18:30.257221,2026-04-02T03:06:36.878243,morph dot-com systems,settled
TXN_0000023,ACC_000002,debit,2601.58,AUD,Woolworths,2026-04-16T19:26:05.223003,2026-03-11T13:11:57.063187,revolutionize interactive supply-chains,pending
TXN_0000024,ACC_000277,debit,3095.42,AUD,Shell,2026-04-16T09:01:50.327945,2026-03-02T03:52:03.386502,target proactive info-mediaries,settled
TXN_0000025,ACC_000062,credit,2932.61,AUD,Rent Payment,2026-01-30T07:53:40.312005,2026-01-25T22:40:19.930902,whiteboard magnetic methodologies,failed
TXN_0000026,ACC_000172,credit,2754.05,AUD,BP,2026-03-23T23:17:43.362871,2026-04-01T21:06:12.998570,deploy synergistic deliverables,settled
TXN_0000027,ACC_000168,credit,805.47,AUD,Uber Eats,2026-03-09T01:45:47.231921,2026-03-23T22:31:23.062814,morph interactive technologies,settled
TXN_0000028,ACC_000126,credit,3484.21,AUD,Bunnings,2026-01-28T05:39:19.328940,2026-03-21T11:56:33.000896,transition cross-platform partnerships,settled
TXN_0000029,ACC_000311,debit,2010.51,AUD,Bunnings,2026-03-10T18:35:10.495425,2026-02-04T22:17:03.170632,harness synergistic e-tailers,settled
TXN_0000030,ACC_000087,credit,3537.69,AUD,Spotify,2026-04-10T08:28:41.182319,2026-02-13T01:57:31.284477,extend dynamic models,settled
TXN_0000747,ACC_000064,credit,4340.62,AUD,Rent Payment,2026-03-27T04:55:02.839992,2026-02-10T00:03:20.028129,incentivize back-end e-tailers,settled
TXN_0000032,ACC_000188,credit,398.0,AUD,Shell,2026-02-09T11:50:35.769831,2026-04-05T00:13:35.172994,e-enable synergistic eyeballs,settled
TXN_0000033,ACC_000257,debit,3260.64,AUD,BP,2026-03-30T23:15:43.624496,2026-01-30T15:41:33.158884,evolve rich e-business,failed
TXN_0000034,ACC_000277,credit,3202.66,AUD,Ausgrid,2026-01-20T11:03:43.705765,2026-04-07T00:04:04.686615,integrate compelling relationships,settled
TXN_0000035,ACC_000269,credit,1976.22,AUD,AGL Energy,2026-03-16T17:23:48.284292,2026-03-05T04:12:36.777028,matrix efficient models,failed
TXN_0000036,ACC_000118,debit,152.69,AUD,Netflix,2026-02-05T07:45:29.607697,2026-03-29T15:33:41.842590,deliver efficient interfaces,settled
TXN_0000037,ACC_000259,debit,3033.6,AUD,AGL Energy,2026-02-08T20:28:31.481229,2026-03-12T18:21:06.489038,streamline cutting-edge info-mediaries,settled
TXN_0000038,ACC_000063,debit,4485.68,AUD,Shell,2026-04-14T10:24:30.780535,2026-01-22T19:05:25.143331,seize impactful methodologies,pending
TXN_0000039,ACC_000164,debit,2330.57,AUD,Coles,2026-03-30T16:42:27.222936,2026-03-02T00:17:54.362841,embrace ubiquitous vortals,settled
TXN_0000040,ACC_000228,credit,3268.03,AUD,Spotify,2026-03-22T21:26:59.229488,2026-01-20T22:17:10.153675,architect enterprise applications,settled
TXN_0000041,ACC_000141,credit,1019.49,AUD,Uber Eats,2026-01-28T22:22:13.096064,2026-02-21T09:48:57.685675,cultivate back-end ROI,pending
TXN_0000042,ACC_000243,debit,1176.09,AUD,Coles,2026-03-10T05:39:07.001348,2026-02-10T04:58:32.049899,syndicate cross-platform relationships,failed
TXN_0000043,ACC_000030,credit,1530.84,AUD,Netflix,2026-02-05T10:00:30.730551,2026-02-27T00:28:17.838075,deploy out-of-the-box relationships,settled
TXN_0000044,ACC_000225,credit,3124.32,AUD,Spotify,2026-04-06T18:05:57.654385,2026-02-14T00:45:17.239904,reinvent end-to-end networks,pending
TXN_0000045,ACC_000098,credit,4325.63,AUD,Uber Eats,2026-03-22T14:32:26.628812,2026-04-03T03:24:24.604363,drive real-time action-items,failed
TXN_0000046,ACC_000009,credit,524.53,AUD,AGL Energy,2026-03-10T20:17:22.208743,2026-04-06T22:22:54.752480,aggregate B2B eyeballs,settled
TXN_0000047,ACC_000287,debit,3601.03,AUD,Shell,2026-03-03T10:24:25.102732,2026-01-20T17:47:54.055573,deploy rich channels,failed
TXN_0000048,ACC_000225,debit,3154.13,AUD,Kmart,2026-04-19T11:10:06.325850,2026-04-06T07:26:13.982124,mesh turn-key models,settled
TXN_0000049,ACC_000163,credit,343.52,AUD,Uber Eats,2026-02-15T20:49:43.800425,2026-03-11T10:58:26.603310,maximize scalable interfaces,settled
TXN_0000050,ACC_000145,debit,4024.58,AUD,Sydney Water,2026-01-28T18:32:26.039313,2026-02-03T13:34:24.461150,architect dot-com info-mediaries,settled
TXN_0000051,ACC_000203,debit,1058.02,AUD,Kmart,2026-04-05T08:56:02.008698,2026-01-28T12:46:01.471841,extend open-source portals,settled
TXN_0000052,ACC_000093,debit,3757.48,AUD,Shell,2026-02-21T08:25:58.675725,2026-03-11T07:06:39.870716,re-contextualize dot-com convergence,settled
TXN_0000053,ACC_000040,debit,4140.97,AUD,AGL Energy,2026-01-21T15:35:57.554181,2026-01-30T18:37:40.716149,cultivate 24/365 networks,pending
TXN_0000054,ACC_000259,debit,3439.45,AUD,Woolworths,2026-03-12T16:41:13.301313,2026-03-19T06:52:40.281971,reinvent front-end convergence,pending
TXN_0000055,ACC_000154,credit,2216.29,AUD,Salary,2026-02-18T02:57:00.069232,2026-03-06T19:18:54.630569,revolutionize customized infrastructures,failed
TXN_0000056,ACC_000112,credit,824.15,AUD,Netflix,2026-02-23T03:52:06.083658,2026-02-14T15:38:45.331298,whiteboard B2B communities,settled
TXN_0000057,ACC_000162,debit,3376.14,AUD,Netflix,2026-03-18T12:24:33.155486,2026-04-13T10:27:32.402367,deploy wireless partnerships,pending
TXN_0000058,ACC_000192,debit,2261.88,AUD,AGL Energy,2026-01-26T23:38:12.347965,2026-02-19T18:59:09.791558,harness turn-key experiences,settled
TXN_0000059,ACC_000184,debit,3142.55,AUD,Sydney Water,2026-02-15T02:05:04.999329,2026-02-12T22:29:43.311410,visualize impactful niches,settled
TXN_0000060,ACC_000005,debit,1708.36,AUD,Shell,2026-04-09T18:10:09.488054,2026-03-31T03:39:32.111114,disintermediate customized e-markets,failed
TXN_0000061,ACC_000106,debit,2469.21,AUD,Uber Eats,2026-02-03T22:09:43.600558,2026-04-06T17:51:09.304201,enable web-enabled web services,failed
TXN_0000062,ACC_000138,credit,828.84,AUD,BP,2026-02-11T12:18:45.149774,2026-03-27T19:31:32.681537,extend strategic e-tailers,settled
TXN_0000063,ACC_000152,credit,1259.41,AUD,Bunnings,2026-02-03T21:16:53.776148,2026-01-29T03:15:18.426106,optimize collaborative schemas,failed
TXN_0000064,ACC_000289,debit,3664.14,AUD,Ausgrid,2026-01-24T17:01:04.607591,2026-03-30T05:58:18.494326,mesh strategic platforms,settled
TXN_0000065,ACC_000231,credit,3853.6,AUD,Ausgrid,2026-02-12T11:39:06.806925,2026-02-02T20:08:51.438913,visualize integrated content,settled
